C,L_ctx,cost,keep,probe,lambda_value,state,t,tie_log_objective_gap
1e+19,32768,exponential,0.8,below,0.0798573158782834,R0,0.0,0.0
1e+19,32768,exponential,0.8,above,0.09369180328108366,R2,1.0,0.0
1e+19,32768,exponential,0.8,middle,0.08671405854852438,R1,0.5130676786565079,0.0
1e+19,32768,exponential,0.8,on_tie,0.0806639554326095,R0,0.0,0.0
1e+19,32768,exponential,0.8,full_tie,0.09276416166443927,R2,1.0,5.551115123125783e-17
1e+19,32768,power,0.8,below,0.16154118228674716,R0,0.0,0.0
1e+19,32768,power,0.8,above,0.17619344054069716,R2,1.0,0.0
1e+19,32768,power,0.8,middle,0.16881093121557397,R1,0.4938377210898131,0.0
1e+19,32768,power,0.8,on_tie,0.1631729114007547,R0,0.0,0.0
1e+19,32768,power,0.8,full_tie,0.17444895103039323,R2,1.0,5.551115123125783e-17
1e+19,32768,logarithmic,0.8,below,0.12461302363275169,R0,0.0,0.0
1e+19,32768,logarithmic,0.8,above,0.12713045845361537,R2,1.0,0.0
1e+19,32768,logarithmic,0.8,middle,0.12587174104318352,R0,0.0,0.0
1e+19,32768,logarithmic,0.8,on_tie,0.12587174104318352,R0,0.0,0.0
1e+19,32768,logarithmic,0.8,full_tie,0.12587174104318352,R0,0.0,0.0
1e+19,131072,exponential,0.8,below,0.04762503221730091,R0,0.0,0.0
1e+19,131072,exponential,0.8,above,0.056987133608723706,R2,1.0,0.0
1e+19,131072,exponential,0.8,middle,0.05226449885594078,R1,0.5167208375327513,0.0
1e+19,131072,exponential,0.8,on_tie,0.048106093148788796,R0,0.0,0.0
1e+19,131072,exponential,0.8,full_tie,0.05642290456309278,R2,1.0,0.0
1e+19,131072,power,0.8,below,0.09633937637665299,R0,0.0,0.0
1e+19,131072,power,0.8,above,0.10901246302666771,R2,1.0,0.0
1e+19,131072,power,0.8,middle,0.10262281655006528,R1,0.49839412097805214,0.0
1e+19,131072,power,0.8,on_tie,0.09731250139055858,R0,0.0,0.0
1e+19,131072,power,0.8,full_tie,0.10793313170957199,R2,1.0,0.0
1e+19,131072,logarithmic,0.8,below,0.07539207180248908,R0,0.0,0.0
1e+19,131072,logarithmic,0.8,above,0.07691514396011512,R2,1.0,0.0
1e+19,131072,logarithmic,0.8,middle,0.0761536078813021,R0,0.0,0.0
1e+19,131072,logarithmic,0.8,on_tie,0.0761536078813021,R0,0.0,0.0
1e+19,131072,logarithmic,0.8,full_tie,0.0761536078813021,R0,0.0,0.0
1e+22,2048,exponential,0.8,below,0.0051032740856830116,R0,0.0,0.0
1e+22,2048,exponential,0.8,above,0.006274364145892644,R2,1.0,0.0
1e+22,2048,exponential,0.8,middle,0.0056835320186886485,R1,0.5228780633487885,0.0
1e+22,2048,exponential,0.8,on_tie,0.005154822308770719,R0,0.0,0.0
1e+22,2048,exponential,0.8,full_tie,0.006212241728606578,R2,1.0,1.1102230246251565e-16
1e+22,2048,power,0.8,below,0.010323273707208818,R0,0.0,0.0
1e+22,2048,power,0.8,above,0.012311714257337708,R2,1.0,0.0
1e+22,2048,power,0.8,middle,0.011308682647787397,R1,0.5116311664488632,0.0
1e+22,2048,power,0.8,on_tie,0.010427549199200827,R0,0.0,0.0
1e+22,2048,power,0.8,full_tie,0.012189816096373969,R2,1.0,0.0
1e+22,2048,logarithmic,0.8,below,0.008240778752682996,R0,0.0,0.0
1e+22,2048,logarithmic,0.8,above,0.008407259131525076,R2,1.0,0.0
1e+22,2048,logarithmic,0.8,middle,0.008324018942104036,R0,0.0,0.0
1e+22,2048,logarithmic,0.8,on_tie,0.008324018942104036,R0,0.0,0.0
1e+22,2048,logarithmic,0.8,full_tie,0.008324018942104036,R0,0.0,0.0
1e+22,4096,exponential,0.8,below,0.0049328014634804915,R0,0.0,0.0
1e+22,4096,exponential,0.8,above,0.006065448142226078,R2,1.0,0.0
1e+22,4096,exponential,0.8,middle,0.005494010970556613,R1,0.522905687146453,0.0
1e+22,4096,exponential,0.8,on_tie,0.004982627740889385,R0,0.0,0.0
1e+22,4096,exponential,0.8,full_tie,0.00600539420022384,R2,1.0,1.1102230246251565e-16
1e+22,4096,power,0.8,below,0.009978429297711129,R0,0.0,0.0
1e+22,4096,power,0.8,above,0.011903080496234777,R2,1.0,0.0
1e+22,4096,power,0.8,middle,0.010932224863466681,R1,0.5116946498250396,0.0
1e+22,4096,power,0.8,on_tie,0.010079221512839524,R0,0.0,0.0
1e+22,4096,power,0.8,full_tie,0.011785228214093838,R2,1.0,0.0
1e+22,4096,logarithmic,0.8,below,0.007966151610094133,R0,0.0,0.0
1e+22,4096,logarithmic,0.8,above,0.008127083965853609,R2,1.0,0.0
1e+22,4096,logarithmic,0.8,middle,0.008046617787973871,R0,0.0,0.0
1e+22,4096,logarithmic,0.8,on_tie,0.008046617787973871,R0,0.0,0.0
1e+22,4096,logarithmic,0.8,full_tie,0.008046617787973871,R0,0.0,0.0
1e+22,8192,exponential,0.8,below,0.004635226975205412,R0,0.0,0.0
1e+22,8192,exponential,0.8,above,0.005700655914980106,R2,1.0,0.0
1e+22,8192,exponential,0.8,middle,0.005163130613455231,R1,0.5229535269974867,0.0
1e+22,8192,exponential,0.8,on_tie,0.004682047449702437,R0,0.0,0.0
1e+22,8192,exponential,0.8,full_tie,0.005644213777208026,R2,1.0,0.0
1e+22,8192,power,0.8,below,0.009376473996238213,R0,0.0,0.0
1e+22,8192,power,0.8,above,0.011189342985875563,R2,1.0,0.0
1e+22,8192,power,0.8,middle,0.010274871633272028,R1,0.5118052125290597,0.0
1e+22,8192,power,0.8,on_tie,0.009471185854786074,R0,0.0,0.0
1e+22,8192,power,0.8,full_tie,0.011078557411757983,R2,1.0,0.0
1e+22,8192,logarithmic,0.8,below,0.007486658925861544,R0,0.0,0.0
1e+22,8192,logarithmic,0.8,above,0.007637904560727434,R2,1.0,0.0
1e+22,8192,logarithmic,0.8,middle,0.007562281743294489,R0,0.0,0.0
1e+22,8192,logarithmic,0.8,on_tie,0.007562281743294489,R0,0.0,0.0
1e+22,8192,logarithmic,0.8,full_tie,0.007562281743294489,R0,0.0,0.0
1e+22,32768,exponential,0.8,below,0.003529632913826086,R0,0.0,0.0
1e+22,32768,exponential,0.8,above,0.004344080065674313,R2,1.0,0.0
1e+22,32768,exponential,0.8,middle,0.003933177571748134,R1,0.5231318119456527,0.0
1e+22,32768,exponential,0.8,on_tie,0.003565285771541501,R0,0.0,0.0
1e+22,32768,exponential,0.8,full_tie,0.004301069371954766,R2,1.0,0.0
1e+22,32768,power,0.8,below,0.007139997978478747,R0,0.0,0.0
1e+22,32768,power,0.8,above,0.008532725740393318,R2,1.0,0.0
1e+22,32768,power,0.8,middle,0.007830181238750334,R1,0.5122178624904327,0.0
1e+22,32768,power,0.8,on_tie,0.007212119170180553,R0,0.0,0.0
1e+22,32768,power,0.8,full_tie,0.008448243307320117,R2,1.0,1.1102230246251565e-16
1e+22,32768,logarithmic,0.8,below,0.005703974406351447,R0,0.0,0.0
1e+22,32768,logarithmic,0.8,above,0.005819206212540365,R2,1.0,0.0
1e+22,32768,logarithmic,0.8,middle,0.005761590309445906,R0,0.0,0.0
1e+22,32768,logarithmic,0.8,on_tie,0.005761590309445906,R0,0.0,0.0
1e+22,32768,logarithmic,0.8,full_tie,0.005761590309445906,R0,0.0,0.0
1e+22,131072,exponential,0.8,below,0.002104990374237287,R0,0.0,0.0
1e+22,131072,exponential,0.8,above,0.0025931295944426275,R2,1.0,0.0
1e+22,131072,exponential,0.8,middle,0.0023468539736362943,R1,0.5233627613927098,0.0
1e+22,131072,exponential,0.8,on_tie,0.002126252903269987,R0,0.0,0.0
1e+22,131072,exponential,0.8,full_tie,0.0025674550440026016,R2,1.0,0.0
1e+22,131072,power,0.8,below,0.004258127511758578,R0,0.0,0.0
1e+22,131072,power,0.8,above,0.005098186906840027,R2,1.0,0.0
1e+22,131072,power,0.8,middle,0.004674424354759371,R1,0.5127538301261744,0.0
1e+22,131072,power,0.8,on_tie,0.004301138900766241,R0,0.0,0.0
1e+22,131072,power,0.8,full_tie,0.005047709808752502,R2,1.0,0.0
1e+22,131072,logarithmic,0.8,below,0.003404052836244387,R0,0.0,0.0
1e+22,131072,logarithmic,0.8,above,0.0034728215804109403,R2,1.0,0.0
1e+22,131072,logarithmic,0.8,middle,0.0034384372083276636,R0,0.0,0.0
1e+22,131072,logarithmic,0.8,on_tie,0.0034384372083276636,R0,0.0,0.0
1e+22,131072,logarithmic,0.8,full_tie,0.0034384372083276636,R0,0.0,0.0
1e+24,2048,exponential,0.8,below,0.0006379580400557365,R0,0.0,0.0
1e+24,2048,exponential,0.8,above,0.0007866560046655896,R2,1.0,0.0
1e+24,2048,exponential,0.8,middle,0.0007116346960072145,R1,0.5236020785116429,0.0
1e+24,2048,exponential,0.8,on_tie,0.0006444020606623601,R0,0.0,0.0
1e+24,2048,exponential,0.8,full_tie,0.0007788673313520689,R2,1.0,0.0
1e+24,2048,power,0.8,below,0.0012905078878059954,R0,0.0,0.0
1e+24,2048,power,0.8,above,0.0015480753392356837,R2,1.0,0.0
1e+24,2048,power,0.8,middle,0.0014181455908227733,R1,0.5133107428159297,0.0
1e+24,2048,power,0.8,on_tie,0.001303543321016157,R0,0.0,0.0
1e+24,2048,power,0.8,full_tie,0.0015327478606293897,R2,1.0,0.0
1e+24,2048,logarithmic,0.8,below,0.0010323950582661883,R0,0.0,0.0
1e+24,2048,logarithmic,0.8,above,0.0010532515240897478,R2,1.0,0.0
1e+24,2048,logarithmic,0.8,middle,0.001042823291177968,R0,0.0,0.0
1e+24,2048,logarithmic,0.8,on_tie,0.001042823291177968,R0,0.0,0.0
1e+24,2048,logarithmic,0.8,full_tie,0.001042823291177968,R0,0.0,0.0
1e+24,4096,exponential,0.8,below,0.0006166473328278823,R0,0.0,0.0
1e+24,4096,exponential,0.8,above,0.0007603887646058174,R2,1.0,0.0
1e+24,4096,exponential,0.8,middle,0.0006878681283707973,R1,0.5236071588655035,0.0
1e+24,4096,exponential,0.8,on_tie,0.0006228760937655377,R0,0.0,0.0
1e+24,4096,exponential,0.8,full_tie,0.0007528601629760569,R2,1.0,2.220446049250313e-16
1e+24,4096,power,0.8,below,0.0012473990404437657,R0,0.0,0.0
1e+24,4096,power,0.8,above,0.0014964044001682616,R2,1.0,0.0
1e+24,4096,power,0.8,middle,0.0013707937728846796,R1,0.5133188752074229,0.0
1e+24,4096,power,0.8,on_tie,0.0012599990307512784,R0,0.0,0.0
1e+24,4096,power,0.8,full_tie,0.0014815885150180807,R2,1.0,2.220446049250313e-16
1e+24,4096,logarithmic,0.8,below,0.0009979186346353243,R0,0.0,0.0
1e+24,4096,logarithmic,0.8,above,0.0010180786070521997,R2,1.0,0.0
1e+24,4096,logarithmic,0.8,middle,0.001007998620843762,R0,0.0,0.0
1e+24,4096,logarithmic,0.8,on_tie,0.001007998620843762,R0,0.0,0.0
1e+24,4096,logarithmic,0.8,full_tie,0.001007998620843762,R0,0.0,0.0
1e+24,8192,exponential,0.8,below,0.000579447677445244,R0,0.0,0.0
1e+24,8192,exponential,0.8,above,0.0007145352946365223,R2,1.0,0.0
1e+24,8192,exponential,0.8,middle,0.0006463806860235291,R1,0.5236116528158344,0.0
1e+24,8192,exponential,0.8,on_tie,0.0005853006842881253,R0,0.0,0.0
1e+24,8192,exponential,0.8,full_tie,0.000707460687758933,R2,1.0,0.0
1e+24,8192,power,0.8,below,0.0011721488740052874,R0,0.0,0.0
1e+24,8192,power,0.8,above,0.001406201451412657,R2,1.0,0.0
1e+24,8192,power,0.8,middle,0.0012881337131932548,R1,0.5133323202299171,0.0
1e+24,8192,power,0.8,on_tie,0.0011839887616215024,R0,0.0,0.0
1e+24,8192,power,0.8,full_tie,0.001392278664765007,R2,1.0,0.0
1e+24,8192,logarithmic,0.8,below,0.0009377353979060538,R0,0.0,0.0
1e+24,8192,logarithmic,0.8,above,0.0009566795473587014,R2,1.0,0.0
1e+24,8192,logarithmic,0.8,middle,0.0009472074726323776,R0,0.0,0.0
1e+24,8192,logarithmic,0.8,on_tie,0.0009472074726323776,R0,0.0,0.0
1e+24,8192,logarithmic,0.8,full_tie,0.0009472074726323776,R0,0.0,0.0
1e+24,32768,exponential,0.8,below,0.0004412378520169837,R0,0.0,0.0
1e+24,32768,exponential,0.8,above,0.0005441538456159437,R2,1.0,0.0
1e+24,32768,exponential,0.8,middle,0.0004922304918976586,R1,0.5236342780196614,0.0
1e+24,32768,exponential,0.8,on_tie,0.00044569480001715523,R0,0.0,0.0
1e+24,32768,exponential,0.8,full_tie,0.000538766183778162,R2,1.0,2.220446049250313e-16
1e+24,32768,power,0.8,below,0.0008925679945608072,R0,0.0,0.0
1e+24,32768,power,0.8,above,0.0010709885935216656,R2,1.0,0.0
1e+24,32768,power,0.8,middle,0.0009809842894753797,R1,0.5133852080974306,0.0
1e+24,32768,power,0.8,on_tie,0.0009015838328897043,R0,0.0,0.0
1e+24,32768,power,0.8,full_tie,0.001060384746061055,R2,1.0,0.0
1e+24,32768,logarithmic,0.8,below,0.0007141145152712599,R0,0.0,0.0
1e+24,32768,logarithmic,0.8,above,0.0007285410711353257,R2,1.0,0.0
1e+24,32768,logarithmic,0.8,middle,0.0007213277932032928,R2,1.0,0.0
1e+24,32768,logarithmic,0.8,on_tie,0.0007213277932032928,R2,1.0,2.220446049250313e-16
1e+24,32768,logarithmic,0.8,full_tie,0.0007213277932032928,R2,1.0,2.220446049250313e-16
1e+24,131072,exponential,0.8,below,0.0002631439172064144,R0,0.0,0.0
1e+24,131072,exponential,0.8,above,0.0003245586299683281,R2,1.0,0.0
1e+24,131072,exponential,0.8,middle,0.0002935735573792996,R1,0.5236634516510292,0.0
1e+24,131072,exponential,0.8,on_tie,0.0002658019365721358,R0,0.0,0.0
1e+24,131072,exponential,0.8,full_tie,0.0003213451781864635,R2,1.0,2.220446049250313e-16
1e+24,131072,power,0.8,below,0.0005323066400313361,R0,0.0,0.0
1e+24,131072,power,0.8,above,0.0006388618536098898,R2,1.0,0.0
1e+24,131072,power,0.8,middle,0.0005851099817508953,R1,0.5134538389081165,0.0
1e+24,131072,power,0.8,on_tie,0.0005376834747791273,R0,0.0,0.0
1e+24,131072,power,0.8,full_tie,0.0006325364887226632,R2,1.0,0.0
1e+24,131072,logarithmic,0.8,below,0.0004259178395045435,R0,0.0,0.0
1e+24,131072,logarithmic,0.8,above,0.00043452224030261506,R2,1.0,0.0
1e+24,131072,logarithmic,0.8,middle,0.0004302200399035793,R0,0.0,0.0
1e+24,131072,logarithmic,0.8,on_tie,0.0004302200399035793,R0,0.0,0.0
1e+24,131072,logarithmic,0.8,full_tie,0.0004302200399035793,R0,0.0,0.0
1e+19,2048,exponential,0.5,below,0.1154606670505244,R0,0.0,0.0
1e+19,2048,exponential,0.5,above,0.15110007804519368,R2,1.0,0.0
1e+19,2048,exponential,0.5,middle,0.13311548704158985,R1,0.5211811051611124,0.0
1e+19,2048,exponential,0.5,on_tie,0.1166269364146711,R0,0.0,0.0
1e+19,2048,exponential,0.5,full_tie,0.1496040376685086,R2,1.0,5.551115123125783e-17
1e+19,2048,power,0.5,below,0.2335622285550717,R0,0.0,0.0
1e+19,2048,power,0.5,above,0.2535081355341496,R2,1.0,0.0
1e+19,2048,power,0.5,middle,0.2434597984895642,R1,0.5092253182969135,0.0
1e+19,2048,power,0.5,on_tie,0.2359214429849209,R0,0.0,0.0
1e+19,2048,power,0.5,full_tie,0.2509981539942075,R2,1.0,1.1102230246251565e-16
1e+19,2048,logarithmic,0.5,below,0.16464674709440044,R0,0.0,0.0
1e+19,2048,logarithmic,0.5,above,0.16797294400539844,R2,1.0,0.0
1e+19,2048,logarithmic,0.5,middle,0.16630984554989944,R0,0.0,0.0
1e+19,2048,logarithmic,0.5,on_tie,0.16630984554989944,R0,0.0,0.0
1e+19,2048,logarithmic,0.5,full_tie,0.16630984554989944,R0,0.0,0.0
1e+19,4096,exponential,0.5,below,0.11160375434254845,R0,0.0,0.0
1e+19,4096,exponential,0.5,above,0.14672783580881335,R2,1.0,0.0
1e+19,4096,exponential,0.5,middle,0.12900307497584718,R1,0.5216213722844469,0.0
1e+19,4096,exponential,0.5,on_tie,0.11273106499247318,R0,0.0,0.0
1e+19,4096,exponential,0.5,full_tie,0.14527508495922115,R2,1.0,0.0
1e+19,4096,power,0.5,below,0.22576018522352706,R0,0.0,0.0
1e+19,4096,power,0.5,above,0.24686211601745903,R2,1.0,0.0
1e+19,4096,power,0.5,middle,0.23622926389291266,R1,0.5024199652838347,0.0
1e+19,4096,power,0.5,on_tie,0.22804059113487582,R0,0.0,0.0
1e+19,4096,power,0.5,full_tie,0.24441793665094952,R2,1.0,5.551115123125783e-17
1e+19,4096,logarithmic,0.5,below,0.15962298489401314,R0,0.0,0.0
1e+19,4096,logarithmic,0.5,above,0.16284769165954874,R2,1.0,0.0
1e+19,4096,logarithmic,0.5,middle,0.16123533827678094,R0,0.0,0.0
1e+19,4096,logarithmic,0.5,on_tie,0.16123533827678094,R0,0.0,0.0
1e+19,4096,logarithmic,0.5,full_tie,0.16123533827678094,R0,0.0,0.0
1e+19,8192,exponential,0.5,below,0.10487118455762368,R0,0.0,0.0
1e+19,8192,exponential,0.5,above,0.13900329608659776,R2,1.0,0.0
1e+19,8192,exponential,0.5,middle,0.12177875764022986,R1,0.5224915974904226,0.0
1e+19,8192,exponential,0.5,on_tie,0.10593048945214513,R0,0.0,0.0
1e+19,8192,exponential,0.5,full_tie,0.1376270258283146,R2,1.0,5.551115123125783e-17
1e+19,8192,power,0.5,below,0.21214105376483325,R0,0.0,0.0
1e+19,8192,power,0.5,above,0.23504149108828173,R2,1.0,0.0
1e+19,8192,power,0.5,middle,0.22349912015195544,R1,0.49428352445200724,0.0
1e+19,8192,power,0.5,on_tie,0.21428389269175077,R0,0.0,0.0
1e+19,8192,power,0.5,full_tie,0.23271434761216014,R2,1.0,5.551115123125783e-17
1e+19,8192,logarithmic,0.5,below,0.15078612542322456,R0,0.0,0.0
1e+19,8192,logarithmic,0.5,above,0.1538323097752089,R2,1.0,0.0
1e+19,8192,logarithmic,0.5,middle,0.15230921759921673,R0,0.0,0.0
1e+19,8192,logarithmic,0.5,on_tie,0.15230921759921673,R0,0.0,0.0
1e+19,8192,logarithmic,0.5,full_tie,0.15230921759921673,R0,0.0,0.0
1e+19,32768,exponential,0.5,below,0.0798573158782834,R0,0.0,0.0
1e+19,32768,exponential,0.5,above,0.10921299642904969,R2,1.0,0.0
1e+19,32768,exponential,0.5,middle,0.09439781753266599,R1,0.5267825193332352,0.0
1e+19,32768,exponential,0.5,on_tie,0.0806639554326095,R0,0.0,0.0
1e+19,32768,exponential,0.5,full_tie,0.10813167963272247,R2,1.0,0.0
1e+19,32768,power,0.5,below,0.16154118228674716,R0,0.0,0.0
1e+19,32768,power,0.5,above,0.18844878930725573,R2,1.0,0.0
1e+19,32768,power,0.5,middle,0.17487793555545444,R1,0.4854909506159552,0.0
1e+19,32768,power,0.5,on_tie,0.1631729114007547,R0,0.0,0.0
1e+19,32768,power,0.5,full_tie,0.18658295971015418,R2,1.0,5.551115123125783e-17
1e+19,32768,logarithmic,0.5,below,0.11716600628698606,R0,0.0,0.0
1e+19,32768,logarithmic,0.5,above,0.11953299631298578,R2,1.0,0.0
1e+19,32768,logarithmic,0.5,middle,0.11834950129998592,R0,0.0,0.0
1e+19,32768,logarithmic,0.5,on_tie,0.11834950129998592,R0,0.0,0.0
1e+19,32768,logarithmic,0.5,full_tie,0.11834950129998592,R0,0.0,0.0
1e+19,131072,exponential,0.5,below,0.04762503221730091,R0,0.0,0.0
1e+19,131072,exponential,0.5,above,0.0679968523257431,R2,1.0,0.0
1e+19,131072,exponential,0.5,middle,0.057714854656445436,R1,0.5345717261851679,0.0
1e+19,131072,exponential,0.5,on_tie,0.048106093148788796,R0,0.0,0.0
1e+19,131072,exponential,0.5,full_tie,0.06732361616410207,R2,1.0,0.0
1e+19,131072,power,0.5,below,0.09633937637665299,R0,0.0,0.0
1e+19,131072,power,0.5,above,0.1209999614721905,R2,1.0,0.0
1e+19,131072,power,0.5,middle,0.10855722172111618,R1,0.4949107763441608,0.0
1e+19,131072,power,0.5,on_tie,0.09731250139055858,R0,0.0,0.0
1e+19,131072,power,0.5,full_tie,0.11980194205167376,R2,1.0,1.1102230246251565e-16
1e+19,131072,logarithmic,0.5,below,0.07183907428422336,R0,0.0,0.0
1e+19,131072,logarithmic,0.5,above,0.07329036871420767,R2,1.0,0.0
1e+19,131072,logarithmic,0.5,middle,0.07256472149921551,R0,0.0,0.0
1e+19,131072,logarithmic,0.5,on_tie,0.07256472149921551,R0,0.0,0.0
1e+19,131072,logarithmic,0.5,full_tie,0.07256472149921551,R0,0.0,0.0
1e+22,2048,exponential,0.5,below,0.0051032740856830116,R0,0.0,0.0
1e+22,2048,exponential,0.5,above,0.00775549117199846,R2,1.0,0.0
1e+22,2048,exponential,0.5,middle,0.0064167632197311315,R1,0.5485122684269691,0.0
1e+22,2048,exponential,0.5,on_tie,0.005154822308770719,R0,0.0,0.0
1e+22,2048,exponential,0.5,full_tie,0.007678704130691545,R2,1.0,0.0
1e+22,2048,power,0.5,below,0.010323273707208818,R0,0.0,0.0
1e+22,2048,power,0.5,above,0.0145435071811304,R2,1.0,0.0
1e+22,2048,power,0.5,middle,0.012413530629862987,R1,0.5236075791221829,0.0
1e+22,2048,power,0.5,on_tie,0.010427549199200827,R0,0.0,0.0
1e+22,2048,power,0.5,full_tie,0.014399512060525147,R2,1.0,0.0
1e+22,2048,logarithmic,0.5,below,0.00801228316765946,R0,0.0,0.0
1e+22,2048,logarithmic,0.5,above,0.00817414747407682,R2,1.0,0.0
1e+22,2048,logarithmic,0.5,middle,0.00809321532086814,R0,0.0,0.0
1e+22,2048,logarithmic,0.5,on_tie,0.00809321532086814,R0,0.0,0.0
1e+22,2048,logarithmic,0.5,full_tie,0.00809321532086814,R0,0.0,0.0
1e+22,4096,exponential,0.5,below,0.0049328014634804915,R0,0.0,0.0
1e+22,4096,exponential,0.5,above,0.007498410344894179,R2,1.0,0.0
1e+22,4096,exponential,0.5,middle,0.006203398199600227,R1,0.5485771265490311,0.0
1e+22,4096,exponential,0.5,on_tie,0.004982627740889385,R0,0.0,0.0
1e+22,4096,exponential,0.5,full_tie,0.007424168658311068,R2,1.0,0.0
1e+22,4096,power,0.5,below,0.009978429297711129,R0,0.0,0.0
1e+22,4096,power,0.5,above,0.014064885130792995,R2,1.0,0.0
1e+22,4096,power,0.5,middle,0.012002425177604413,R1,0.5237535082429334,0.0
1e+22,4096,power,0.5,on_tie,0.010079221512839524,R0,0.0,0.0
1e+22,4096,power,0.5,full_tie,0.013925628842369302,R2,1.0,0.0
1e+22,4096,logarithmic,0.5,below,0.0077459503344327165,R0,0.0,0.0
1e+22,4096,logarithmic,0.5,above,0.007902434179572771,R2,1.0,0.0
1e+22,4096,logarithmic,0.5,middle,0.007824192257002744,R0,0.0,0.0
1e+22,4096,logarithmic,0.5,on_tie,0.007824192257002744,R0,0.0,0.0
1e+22,4096,logarithmic,0.5,full_tie,0.007824192257002744,R0,0.0,0.0
1e+22,8192,exponential,0.5,below,0.004635226975205412,R0,0.0,0.0
1e+22,8192,exponential,0.5,above,0.00704932798130836,R2,1.0,0.0
1e+22,8192,exponential,0.5,middle,0.005830790052231595,R1,0.5486895565344443,0.0
1e+22,8192,exponential,0.5,on_tie,0.004682047449702437,R0,0.0,0.0
1e+22,8192,exponential,0.5,full_tie,0.006979532654760753,R2,1.0,1.1102230246251565e-16
1e+22,8192,power,0.5,below,0.009376473996238213,R0,0.0,0.0
1e+22,8192,power,0.5,above,0.01322824109254367,R2,1.0,0.0
1e+22,8192,power,0.5,middle,0.011284227131622577,R1,0.5240077886444073,0.0
1e+22,8192,power,0.5,on_tie,0.009471185854786074,R0,0.0,0.0
1e+22,8192,power,0.5,full_tie,0.01309726840845908,R2,1.0,1.1102230246251565e-16
1e+22,8192,logarithmic,0.5,below,0.007280827955616286,R0,0.0,0.0
