scenario,L_ctx,cost,boundary,C_stationary_candidate,positive_candidate,global_transition_claim
sQ_0.5,32768,exponential,upper,2.3084366052728804e+16,True,False
sQ_0.5,32768,power,lower,3.0491962522803674e+17,True,False
sQ_0.5,32768,power,upper,8.89250113660218e+16,True,False
sQ_0.5,32768,logarithmic,lower,2.160364501783524e+17,True,False
sQ_0.5,32768,logarithmic,upper,1.348315975414138e+16,True,False
sQ_0.5,131072,exponential,lower,2.019090311309497e+16,True,False
sQ_0.5,131072,exponential,upper,7347901554043647.0,True,False
sQ_0.5,131072,power,lower,9.705786951020235e+16,True,False
sQ_0.5,131072,power,upper,2.8305400621235624e+16,True,False
sQ_0.5,131072,logarithmic,lower,6.876578565638977e+16,True,False
sQ_0.5,131072,logarithmic,upper,4291776100091895.5,True,False
sQ_2,2048,exponential,lower,3.092495604876127e+18,True,False
sQ_2,2048,exponential,upper,4.925511200027432e+18,True,False
sQ_2,2048,power,lower,1.4865656736487242e+19,True,False
sQ_2,2048,power,upper,2.0116231329417277e+19,True,False
sQ_2,2048,logarithmic,lower,1.0532361465808738e+19,True,False
sQ_2,2048,logarithmic,upper,4.707507475161795e+18,True,False
sQ_2,4096,exponential,lower,2.868339933578636e+18,True,False
sQ_2,4096,exponential,upper,4.5684916887354547e+18,True,False
sQ_2,4096,power,lower,1.378813822367472e+19,True,False
sQ_2,4096,power,upper,1.8658131492343525e+19,True,False
sQ_2,4096,logarithmic,lower,9.768936434260226e+18,True,False
sQ_2,4096,logarithmic,upper,4.366289690868411e+18,True,False
sQ_2,8192,exponential,lower,2.4990997668851236e+18,True,False
sQ_2,8192,exponential,upper,3.980391717410923e+18,True,False
sQ_2,8192,power,lower,1.2013197116972995e+19,True,False
sQ_2,8192,power,upper,1.6256278245532918e+19,True,False
sQ_2,8192,logarithmic,lower,8.511385446255738e+18,True,False
sQ_2,8192,logarithmic,upper,3.8042190958127657e+18,True,False
sQ_2,32768,exponential,lower,1.366761485622424e+18,True,False
sQ_2,32768,exponential,upper,2.1768823194395558e+18,True,False
sQ_2,32768,power,lower,6.570035881014015e+18,True,False
sQ_2,32768,power,upper,8.890583441272181e+18,True,False
sQ_2,32768,logarithmic,lower,4.654889721241087e+18,True,False
sQ_2,32768,logarithmic,upper,2.0805332431793441e+18,True,False
sQ_2,131072,exponential,lower,4.350489340392714e+17,True,False
sQ_2,131072,exponential,upper,6.929155837090545e+17,True,False
sQ_2,131072,power,lower,2.091284497480005e+18,True,False
sQ_2,131072,power,upper,2.8299296474185073e+18,True,False
sQ_2,131072,logarithmic,lower,1.4816812096326106e+18,True,False
sQ_2,131072,logarithmic,upper,6.622470556859772e+17,True,False
keep_20pct,2048,exponential,lower,6.662203726417235e+17,True,False
keep_20pct,2048,exponential,upper,7.739404094976168e+17,True,False
keep_20pct,2048,power,lower,3.202527872612186e+18,True,False
keep_20pct,2048,power,upper,2.50380399395116e+18,True,False
keep_20pct,2048,logarithmic,lower,2.269000405201706e+18,True,False
keep_20pct,2048,logarithmic,upper,1.832817995573948e+17,True,False
keep_20pct,4096,exponential,lower,6.17930223214801e+17,True,False
keep_20pct,4096,exponential,upper,7.17842308093155e+17,True,False
keep_20pct,4096,power,lower,2.970396650177331e+18,True,False
keep_20pct,4096,power,upper,2.322318896874054e+18,True,False
keep_20pct,4096,logarithmic,lower,2.1045347522189453e+18,True,False
keep_20pct,4096,logarithmic,upper,1.6999684783373802e+17,True,False
keep_20pct,8192,exponential,lower,5.383843311976975e+17,True,False
keep_20pct,8192,exponential,upper,6.254347763368759e+17,True,False
keep_20pct,8192,power,lower,2.588018766225155e+18,True,False
keep_20pct,8192,power,upper,2.0233677835283538e+18,True,False
keep_20pct,8192,logarithmic,lower,1.8336188982001718e+18,True,False
keep_20pct,8192,logarithmic,upper,1.481132266852547e+17,True,False
keep_20pct,32768,exponential,lower,2.9444321435024346e+17,True,False
keep_20pct,32768,exponential,upper,3.4205123596628704e+17,True,False
keep_20pct,32768,power,lower,1.4153914223894216e+18,True,False
keep_20pct,32768,power,upper,1.1065829361516969e+18,True,False
keep_20pct,32768,logarithmic,lower,1.0028089804886202e+18,True,False
keep_20pct,32768,logarithmic,upper,8.10033502571948e+16,True,False
keep_20pct,131072,exponential,lower,9.372316083360707e+16,True,False
keep_20pct,131072,exponential,upper,1.0887709901057155e+17,True,False
keep_20pct,131072,power,lower,4.5052815435344685e+17,True,False
keep_20pct,131072,power,upper,3.522324354783859e+17,True,False
keep_20pct,131072,logarithmic,lower,3.192005207901398e+17,True,False
keep_20pct,131072,logarithmic,upper,2.578388515751439e+16,True,False
